DATE	2021/09/11 13:13:21
ファイル名	Ni_calibration__ANA.txt
元ファイル名	Ni_calibration_.txt
新規	1	(0:新規 1:解析 2:ファイル開く 3:パラメータ保存)
コメント	
磁場単位	2	Oe	(0=emu 1=mT 2=Oe)
磁化単位	0	emu	(0=emu 1=mT 2=Oe 3=emu/g 4=emu/cc)
ステップ数	100
低速区間	100.000	[Oe]
低速ステップ数	100
サンプルレート	10000.000	[Hz]
サンプル数	1000.000
ステップ時間	300.000	[ms/step]
形状選択	0	(0=四角 1=円 2=任意形状)
縦	0.000	[mm]
横	0.000	[mm]
半径	0.000	[mm]
面積	0.000	[mm^2]
厚さ	0.000	[μm]
重量	0.000	[mg]
0:PC 1:ローカル	1
磁場係数	0.000
0:終了後処理なし 1:終了後処理する	1
最大磁場設定値	5.069619265	[V]	10139.239	[Oe]	
測定ステップ幅	5.019619265E-2	[V]
全測定数	802.000
磁場レンジ	10000	[Oe]
測定方法	通常測定
磁化感度	1.000E-1	[emu]
時定数	100.000	[ms]
mGM係数	2.968922000	[Oe/V]
傾き補正	1	(0:補正なし 1:手動補正 2:自動補正)
補正磁場	100.000000000	[Oe]
補正量	-0.000045000	[emu]
自動補正領域	10.000000000	[％]
傾き(自動)	0.000000000
フィルタ処理	0	(0:補正なし 1:手動補正)
フィルタ選択	0	(0:メディアン 1:メディアン＋ローパス 2:移動平均 3:メディアン＋移動平均 4:標準偏差＋移動平均)
メディアン階数	0
標準偏差しきい値	0.000000000
移動平均長さ	0
フィルタ形式	0	(0ベッセル 1:チェビシェフ 2:バターワース 3:チェビシェフpbyp)
低域カットオフ周波数	0.000000000
次数	0
位相ズレ	0
磁場オフセット	0	(0:補正なし 1:平均 2:手動 3:最大最小)
磁場手動オフセット	0.000000000	[Oe]
磁場自動オフセット	0.000000000	[Oe]
磁化オフセット	0	(0:補正なし 1:平均 2:手動 3:最大最小)
磁化手動オフセット	0.000000000	[emu]
磁化自動オフセット	0.000000000	[emu]
mGM結合	0	(0:補正なし 1:自動補正)
Ms手動	0.000000000
Hc手動	0.000000000
Mr手動	0.000000000
Mr/Ms手動	0.000000000
Hk手動	0.000000000
Ms自動	0.001689244
Hc自動	32.366480488
Mr自動	0.003283649
Mr/Ms自動	1.943857099
自動Ms領域	10.000000000	[%]








磁場(GM)[V]	磁場(mGM)[V]	磁化[V]	出力強磁界[V]	出力弱磁界[V]	出力したい磁場[Oe]	磁場(GM)[Oe]	磁場(mGM)[Oe]	磁化[emu]	磁場(GM+mGM)[Oe]	磁化(GM+mGM)[emu]	0:mGM 1:GM
-3.187453124	16.202189352	-0.081507608	-5.297989135	0.025404434	-6424.809006589	-6374.906247627	19.442627223	-0.004075380	-6374.906247627	-0.006944088	1.000000000
-3.137226558	16.202189352	-0.081982447	-5.215385293	0.025404434	-6324.415212833	-6274.453115621	19.442627223	-0.004099122	-6274.453115621	-0.006922626	1.000000000
-3.086914762	16.202189352	-0.082719952	-5.132781451	0.025404434	-6224.021419078	-6173.829523456	19.442627223	-0.004135998	-6173.829523456	-0.006914221	1.000000000
-3.036338718	16.202189352	-0.083476839	-5.050064500	0.025404434	-6123.627625322	-6072.677435076	19.442627223	-0.004173842	-6072.677435076	-0.006906547	1.000000000
-2.985949590	16.202189352	-0.084243926	-4.967273126	0.025404434	-6023.233831567	-5971.899180212	19.442627223	-0.004212196	-5971.899180212	-0.006899551	1.000000000
-2.935436401	16.202189352	-0.084950064	-4.884481753	0.025404434	-5922.840037812	-5870.872802864	19.442627223	-0.004247503	-5870.872802864	-0.006889396	1.000000000
-2.885087752	16.202189352	-0.085514669	-4.801690379	0.025404434	-5822.446244056	-5770.175504430	19.442627223	-0.004275733	-5770.175504430	-0.006872312	1.000000000
-2.834639558	16.202189352	-0.086401358	-4.718928094	0.025404434	-5722.052450301	-5669.279115939	19.442627223	-0.004320068	-5669.279115939	-0.006871244	1.000000000
-2.784218020	16.202189352	-0.087289833	-4.636195315	0.025404434	-5621.658656546	-5568.436039570	19.442627223	-0.004364492	-5568.436039570	-0.006870288	1.000000000
-2.733731161	16.202189352	-0.088249712	-4.553462537	0.025404434	-5521.264862790	-5467.462321129	19.442627223	-0.004412486	-5467.462321129	-0.006872844	1.000000000
-2.683337595	16.202189352	-0.089062702	-4.470729758	0.025404434	-5420.871069035	-5366.675190991	19.442627223	-0.004453135	-5366.675190991	-0.006868139	1.000000000
-2.633027288	16.202189352	-0.089966987	-4.387949904	0.025404434	-5320.477275279	-5266.054575398	19.442627223	-0.004498349	-5266.054575398	-0.006868074	1.000000000
-2.582554581	16.202189352	-0.090632323	-4.305095428	0.025404434	-5220.083481524	-5165.109162070	19.442627223	-0.004531616	-5165.109162070	-0.006855915	1.000000000
-2.532162993	16.202189352	-0.091444038	-4.222240952	0.025404434	-5119.689687769	-5064.325985201	19.442627223	-0.004572202	-5064.325985201	-0.006851149	1.000000000
-2.481669391	16.202189352	-0.092370255	-4.139386476	0.025404434	-5019.295894013	-4963.338781851	19.442627223	-0.004618513	-4963.338781851	-0.006852015	1.000000000
-2.431190434	16.202189352	-0.093499719	-4.056527100	0.025404434	-4918.902100258	-4862.380867698	19.442627223	-0.004674986	-4862.380867698	-0.006863057	1.000000000
-2.380849525	16.202189352	-0.094178061	-3.973655324	0.025404434	-4818.508306503	-4761.699050573	19.442627223	-0.004708903	-4761.699050573	-0.006851668	1.000000000
-2.330485253	16.202189352	-0.094975750	-3.890783549	0.025404434	-4718.114512747	-4660.970505729	19.442627223	-0.004748787	-4660.970505729	-0.006846224	1.000000000
-2.279951835	16.202189352	-0.095843058	-3.807911773	0.025404434	-4617.720718992	-4559.903670768	19.442627223	-0.004792153	-4559.903670768	-0.006844110	1.000000000
-2.229685465	16.202189352	-0.096746833	-3.725010666	0.025404434	-4517.326925236	-4459.370929191	19.442627223	-0.004837342	-4459.370929191	-0.006844059	1.000000000
-2.179152377	16.202189352	-0.097542737	-3.641976405	0.025404434	-4416.933131481	-4358.304754667	19.442627223	-0.004877137	-4358.304754667	-0.006838374	1.000000000
-2.128662564	16.202189352	-0.098601817	-3.558942145	0.025404434	-4316.539337726	-4257.325128515	19.442627223	-0.004930091	-4257.325128515	-0.006845887	1.000000000
-2.078034210	16.202189352	-0.099435464	-3.475907884	0.025404434	-4216.145543970	-4156.068420447	19.442627223	-0.004971773	-4156.068420447	-0.006842004	1.000000000
-2.027669118	16.202189352	-0.100384122	-3.392871543	0.025404434	-4115.751750215	-4055.338236805	19.442627223	-0.005019206	-4055.338236805	-0.006844108	1.000000000
-1.977218302	16.202189352	-0.101027016	-3.309813037	0.025404434	-4015.357956460	-3954.436604926	19.442627223	-0.005051351	-3954.436604926	-0.006830847	1.000000000
-1.926654284	16.202189352	-0.102241656	-3.226754530	0.025404434	-3914.964162704	-3853.308568892	19.442627223	-0.005112083	-3853.308568892	-0.006846072	1.000000000
-1.876303180	16.202189352	-0.102910307	-3.143696024	0.025404434	-3814.570368949	-3752.606359540	19.442627223	-0.005145515	-3752.606359540	-0.006834188	1.000000000
-1.825741960	16.202189352	-0.104130047	-3.060637518	0.025404434	-3714.176575193	-3651.483919523	19.442627223	-0.005206502	-3651.483919523	-0.006849670	1.000000000
-1.775308587	16.202189352	-0.104885403	-2.977604274	0.025404434	-3613.782781438	-3550.617173224	19.442627223	-0.005244270	-3550.617173224	-0.006842048	1.000000000
-1.724768264	16.202189352	-0.105911841	-2.894571225	0.025404434	-3513.388987683	-3449.536527542	19.442627223	-0.005295592	-3449.536527542	-0.006847883	1.000000000
-1.674408111	16.202189352	-0.106872740	-2.811538177	0.025404434	-3412.995193927	-3348.816222015	19.442627223	-0.005343637	-3348.816222015	-0.006850604	1.000000000
-1.623961247	16.202189352	-0.107649773	-2.728505128	0.025404434	-3312.601400172	-3247.922493508	19.442627223	-0.005382489	-3247.922493508	-0.006844054	1.000000000
-1.573422570	16.202189352	-0.108687432	-2.645307828	0.025404434	-3212.207606417	-3146.845140593	19.442627223	-0.005434372	-3146.845140593	-0.006850452	1.000000000
-1.522950368	16.202189352	-0.109477980	-2.562091784	0.025404434	-3111.813812661	-3045.900735416	19.442627223	-0.005473899	-3045.900735416	-0.006844554	1.000000000
-1.472516832	16.202189352	-0.110652582	-2.478875740	0.025404434	-3011.420018906	-2945.033663900	19.442627223	-0.005532629	-2945.033663900	-0.006857894	1.000000000
-1.421798974	16.202189352	-0.111468887	-2.395659696	0.025404434	-2911.026225150	-2843.597947635	19.442627223	-0.005573444	-2843.597947635	-0.006853063	1.000000000
-1.371394562	16.202189352	-0.112722799	-2.312486775	0.025404434	-2810.632431395	-2742.789123725	19.442627223	-0.005636140	-2742.789123725	-0.006870395	1.000000000
-1.320947206	16.202189352	-0.113494987	-2.229323850	0.025404434	-2710.238637640	-2641.894411105	19.442627223	-0.005674749	-2641.894411105	-0.006863602	1.000000000
-1.270478295	16.202189352	-0.114497963	-2.146160925	0.025404434	-2609.844843884	-2540.956589758	19.442627223	-0.005724898	-2540.956589758	-0.006868329	1.000000000
-1.219933203	16.202189352	-0.115489719	-2.062998000	0.025404434	-2509.451050129	-2439.866406044	19.442627223	-0.005774486	-2439.866406044	-0.006872426	1.000000000
-1.169393212	16.202189352	-0.116302709	-1.979728466	0.025404434	-2409.057256374	-2338.786424012	19.442627223	-0.005815135	-2338.786424012	-0.006867589	1.000000000
-1.118895014	16.202189352	-0.117335777	-1.896418181	0.025404434	-2308.663462618	-2237.790027815	19.442627223	-0.005866789	-2237.790027815	-0.006873794	1.000000000
-1.068272260	16.202189352	-0.118347170	-1.813107897	0.025404434	-2208.269668863	-2136.544520459	19.442627223	-0.005917358	-2136.544520459	-0.006878804	1.000000000
-1.017853370	16.202189352	-0.119399874	-1.729797612	0.025404434	-2107.875875107	-2035.706739802	19.442627223	-0.005969994	-2035.706739802	-0.006886062	1.000000000
-0.967324239	16.202189352	-0.120144010	-1.646476615	0.025404434	-2007.482081352	-1934.648477611	19.442627223	-0.006007200	-1934.648477611	-0.006877792	1.000000000
-0.916679108	16.202189352	-0.121109244	-1.563149654	0.025404434	-1907.088287597	-1833.358216146	19.442627223	-0.006055462	-1833.358216146	-0.006880473	1.000000000
-0.866186998	16.202189352	-0.122254264	-1.479822692	0.025404434	-1806.694493841	-1732.373996430	19.442627223	-0.006112713	-1732.373996430	-0.006892282	1.000000000
-0.815888715	16.202189352	-0.122948672	-1.396495730	0.025404434	-1706.300700086	-1631.777429542	19.442627223	-0.006147434	-1631.777429542	-0.006881733	1.000000000
-0.765328486	16.202189352	-0.123892740	-1.313146580	0.025404434	-1605.906906331	-1530.656971865	19.442627223	-0.006194637	-1530.656971865	-0.006883433	1.000000000
-0.714680064	16.202189352	-0.124592758	-1.229780137	0.025404434	-1505.513112575	-1429.360128778	19.442627223	-0.006229638	-1429.360128778	-0.006872850	1.000000000
-0.664139251	16.202189352	-0.125585789	-1.146413694	0.025404434	-1405.119318820	-1328.278501993	19.442627223	-0.006279289	-1328.278501993	-0.006877015	1.000000000
-0.613657671	16.202189352	-0.126216953	-1.063047251	0.025404434	-1304.725525064	-1227.315342799	19.442627223	-0.006310848	-1227.315342799	-0.006863140	1.000000000
-0.563141868	16.202189352	-0.127185502	-0.979675292	0.025404434	-1204.331731309	-1126.283735361	19.442627223	-0.006359275	-1126.283735361	-0.006866103	1.000000000
-0.512606155	16.202189352	-0.127762093	-0.896297446	0.025404434	-1103.937937554	-1025.212309344	19.442627223	-0.006388105	-1025.212309344	-0.006849450	1.000000000
-0.462126878	16.202189352	-0.128065816	-0.812919599	0.025404434	-1003.544143798	-924.253756485	19.442627223	-0.006403291	-924.253756485	-0.006819205	1.000000000
-0.411572572	16.202189352	-0.128484807	-0.729541753	0.025404434	-903.150350043	-823.145144132	19.442627223	-0.006424240	-823.145144132	-0.006794656	1.000000000
-0.361111395	16.202189352	-0.128610785	-0.646098486	0.025404434	-802.756556288	-722.222789050	19.442627223	-0.006430539	-722.222789050	-0.006755539	1.000000000
-0.310687402	16.202189352	-0.128346843	-0.562559433	0.025404434	-702.362762532	-621.374804981	19.442627223	-0.006417342	-621.374804981	-0.006696961	1.000000000
-0.259964773	16.202189352	-0.127733531	-0.479020380	0.025404434	-601.968968777	-519.929545497	19.442627223	-0.006386677	-519.929545497	-0.006620645	1.000000000
-0.209604128	16.202189352	-0.126629058	-0.395481328	0.025404434	-501.575175021	-419.208255163	19.442627223	-0.006331453	-419.208255163	-0.006520097	1.000000000
-0.158993219	16.202189352	-0.124814877	-0.311980950	0.025404434	-401.181381266	-317.986437998	19.442627223	-0.006240744	-317.986437998	-0.006383838	1.000000000
-0.108596539	16.202189352	-0.122155318	-0.228557050	0.025404434	-300.787587511	-217.193078658	19.442627223	-0.006107766	-217.193078658	-0.006205503	1.000000000
-0.058098339	16.202189352	-0.117885591	-0.145133150	0.025404434	-200.393793755	-116.196678115	19.442627223	-0.005894280	-116.196678115	-0.005946568	1.000000000
-0.007606226	16.202189352	-0.111082284	-0.061709250	0.025404434	-100.000000000	-15.212452762	19.442627223	-0.005554114	-15.212452762	-0.005560960	1.000000000
-0.006088523	16.202189352	-0.109862544	-0.060878283	0.025404434	-99.000000000	-12.177045382	19.442627223	-0.005493127	-12.177045382	-0.005498607	1.000000000
-0.005083850	16.202189352	-0.109589677	-0.060047316	0.025404434	-98.000000000	-10.167700471	19.442627223	-0.005479484	-10.167700471	-0.005484059	1.000000000
-0.004493321	16.202189352	-0.109485631	-0.059216350	0.025404434	-97.000000000	-8.986642677	19.442627223	-0.005474282	-8.986642677	-0.005478326	1.000000000
-0.003694816	16.202189352	-0.109263257	-0.058385383	0.025404434	-96.000000000	-7.389631400	19.442627223	-0.005463163	-7.389631400	-0.005466488	1.000000000
-0.003031067	16.202189352	-0.109086276	-0.057554416	0.025404434	-95.000000000	-6.062134287	19.442627223	-0.005454314	-6.062134287	-0.005457042	1.000000000
-0.002546666	16.202189352	-0.109151815	-0.056723449	0.025404434	-94.000000000	-5.093331237	19.442627223	-0.005457591	-5.093331237	-0.005459883	1.000000000
-0.001883246	16.202189352	-0.109091631	-0.055892483	0.025404434	-93.000000000	-3.766492278	19.442627223	-0.005454582	-3.766492278	-0.005456276	1.000000000
-0.001243849	16.202189352	-0.108964379	-0.055061516	0.025404434	-92.000000000	-2.487698578	19.442627223	-0.005448219	-2.487698578	-0.005449338	1.000000000
-0.000784622	16.202189352	-0.108597156	-0.054230549	0.025404434	-91.000000000	-1.569244328	19.442627223	-0.005429858	-1.569244328	-0.005430564	1.000000000
-0.000154933	16.202189352	-0.108426295	-0.053399583	0.025404434	-90.000000000	-0.309866179	19.442627223	-0.005421315	-0.309866179	-0.005421454	1.000000000
0.000431811	16.202189352	-0.108399009	-0.052568616	0.025404434	-89.000000000	0.863622842	19.442627223	-0.005419950	0.863622842	-0.005419562	1.000000000
0.000995356	16.202189352	-0.108367387	-0.051737649	0.025404434	-88.000000000	1.990711988	19.442627223	-0.005418369	1.990711988	-0.005417474	1.000000000
0.001435990	16.202189352	-0.108227128	-0.050906682	0.025404434	-87.000000000	2.871980524	19.442627223	-0.005411356	2.871980524	-0.005410064	1.000000000
0.002041657	16.202189352	-0.108129967	-0.050075716	0.025404434	-86.000000000	4.083313414	19.442627223	-0.005406498	4.083313414	-0.005404661	1.000000000
0.002623794	16.202189352	-0.107975938	-0.049244749	0.025404434	-85.000000000	5.247588275	19.442627223	-0.005398797	5.247588275	-0.005396435	1.000000000
0.003011776	16.202189352	-0.107876227	-0.048413782	0.025404434	-84.000000000	6.023552132	19.442627223	-0.005393811	6.023552132	-0.005391101	1.000000000
0.003605267	16.202189352	-0.107933095	-0.047582816	0.025404434	-83.000000000	7.210533315	19.442627223	-0.005396655	7.210533315	-0.005393410	1.000000000
0.004262763	16.202189352	-0.107768610	-0.046751849	0.025404434	-82.000000000	8.525525499	19.442627223	-0.005388431	8.525525499	-0.005384594	1.000000000
0.004619647	16.202189352	-0.107539861	-0.045920882	0.025404434	-81.000000000	9.239293779	19.442627223	-0.005376993	9.239293779	-0.005372835	1.000000000
0.005149132	16.202189352	-0.107467437	-0.045089915	0.025404434	-80.000000000	10.298263962	19.442627223	-0.005373372	10.298263962	-0.005368738	1.000000000
0.005802679	16.202189352	-0.107347069	-0.044258949	0.025404434	-79.000000000	11.605358295	19.442627223	-0.005367353	11.605358295	-0.005362131	1.000000000
0.006209089	16.202189352	-0.107189470	-0.043427982	0.025404434	-78.000000000	12.418178790	19.442627223	-0.005359473	12.418178790	-0.005353885	1.000000000
0.006745814	16.202189352	-0.107088993	-0.042597015	0.025404434	-77.000000000	13.491628366	19.442627223	-0.005354450	13.491628366	-0.005348378	1.000000000
0.007287475	16.202189352	-0.106899007	-0.041766049	0.025404434	-76.000000000	14.574950256	19.442627223	-0.005344950	14.574950256	-0.005338392	1.000000000
0.007701619	16.202189352	-0.106731206	-0.040935082	0.025404434	-75.000000000	15.403237375	19.442627223	-0.005336560	15.403237375	-0.005329629	1.000000000
0.008260721	16.202189352	-0.106795980	-0.040104115	0.025404434	-74.000000000	16.521441440	19.442627223	-0.005339799	16.521441440	-0.005332364	1.000000000
0.008855034	16.202189352	-0.106558816	-0.039273149	0.025404434	-73.000000000	17.710068010	19.442627223	-0.005327941	17.710068010	-0.005319971	1.000000000
0.009234789	16.202189352	-0.106356078	-0.038442182	0.025404434	-72.000000000	18.469578011	19.442627223	-0.005317804	18.469578011	-0.005309493	1.000000000
0.009836013	16.202189352	-0.106387955	-0.037611215	0.025404434	-71.000000000	19.672025820	19.442627223	-0.005319398	19.672025820	-0.005310545	1.000000000
0.010351183	16.202189352	-0.106139825	-0.036780248	0.025404434	-70.000000000	20.702366293	19.442627223	-0.005306991	20.702366293	-0.005297675	1.000000000
0.010813043	16.202189352	-0.106022263	-0.035949282	0.025404434	-69.000000000	21.626085779	19.442627223	-0.005301113	21.626085779	-0.005291381	1.000000000
0.011334301	16.202189352	-0.105825136	-0.035118315	0.025404434	-68.000000000	22.668602106	19.442627223	-0.005291257	22.668602106	-0.005281056	1.000000000
0.011914464	16.202189352	-0.105650960	-0.034287348	0.025404434	-67.000000000	23.828928043	19.442627223	-0.005282548	23.828928043	-0.005271825	1.000000000
0.012249300	16.202189352	-0.105848087	-0.033456382	0.025404434	-66.000000000	24.498599990	19.442627223	-0.005292404	24.498599990	-0.005281380	1.000000000
0.012838842	16.202189352	-0.105510446	-0.032625415	0.025404434	-65.000000000	25.677683323	19.442627223	-0.005275522	25.677683323	-0.005263967	1.000000000
0.013421144	16.202189352	-0.105492850	-0.031794448	0.025404434	-64.000000000	26.842287264	19.442627223	-0.005274643	26.842287264	-0.005262563	1.000000000
0.013793988	16.202189352	-0.105205958	-0.030963481	0.025404434	-63.000000000	27.587976026	19.442627223	-0.005260298	27.587976026	-0.005247883	1.000000000
0.014359507	16.202189352	-0.105192442	-0.030132515	0.025404434	-62.000000000	28.719014100	19.442627223	-0.005259622	28.719014100	-0.005246699	1.000000000
0.014979653	16.202189352	-0.104893309	-0.029301548	0.025404434	-61.000000000	29.959305779	19.442627223	-0.005244665	29.959305779	-0.005231184	1.000000000
0.015271709	16.202189352	-0.104990215	-0.028470581	0.025404434	-60.000000000	30.543417673	19.442627223	-0.005249511	30.543417673	-0.005235766	1.000000000
0.015876882	16.202189352	-0.104698732	-0.027639615	0.025404434	-59.000000000	31.753763334	19.442627223	-0.005234937	31.753763334	-0.005220647	1.000000000
0.016508052	16.202189352	-0.104665070	-0.026808648	0.025404434	-58.000000000	33.016103181	19.442627223	-0.005233253	33.016103181	-0.005218396	1.000000000
0.016848975	16.202189352	-0.104525831	-0.025977681	0.025404434	-57.000000000	33.697950981	19.442627223	-0.005226292	33.697950981	-0.005211127	1.000000000
0.017401167	16.202189352	-0.104299632	-0.025146715	0.025404434	-56.000000000	34.802333809	19.442627223	-0.005214982	34.802333809	-0.005199321	1.000000000
0.017962243	16.202189352	-0.104119336	-0.024315748	0.025404434	-55.000000000	35.924486801	19.442627223	-0.005205967	35.924486801	-0.005189801	1.000000000
0.018406827	16.202189352	-0.104110921	-0.023484781	0.025404434	-54.000000000	36.813653190	19.442627223	-0.005205546	36.813653190	-0.005188980	1.000000000
0.018934008	16.202189352	-0.104040791	-0.022653814	0.025404434	-53.000000000	37.868016294	19.442627223	-0.005202040	37.868016294	-0.005184999	1.000000000
0.019463658	16.202189352	-0.103805157	-0.021822848	0.025404434	-52.000000000	38.927315556	19.442627223	-0.005190258	38.927315556	-0.005172741	1.000000000
0.019902976	16.202189352	-0.103693460	-0.020991881	0.025404434	-51.000000000	39.805951477	19.442627223	-0.005184673	39.805951477	-0.005166760	1.000000000
0.020430322	16.202189352	-0.103429774	-0.020160914	0.025404434	-50.000000000	40.860643659	19.442627223	-0.005171489	40.860643659	-0.005153101	1.000000000
0.021009991	16.202189352	-0.103404782	-0.019329948	0.025404434	-49.000000000	42.019982367	19.442627223	-0.005170239	42.019982367	-0.005151330	1.000000000
0.021402416	16.202189352	-0.103242592	-0.018498981	0.025404434	-48.000000000	42.804831307	19.442627223	-0.005162130	42.804831307	-0.005142867	1.000000000
0.021965138	16.202189352	-0.103175523	-0.017668014	0.025404434	-47.000000000	43.930275071	19.442627223	-0.005158776	43.930275071	-0.005139008	1.000000000
0.022543162	16.202189352	-0.102887100	-0.016837047	0.025404434	-46.000000000	45.086323008	19.442627223	-0.005144355	45.086323008	-0.005124066	1.000000000
0.022952698	16.202189352	-0.102699409	-0.016006081	0.025404434	-45.000000000	45.905395970	19.442627223	-0.005134970	45.905395970	-0.005114313	1.000000000
0.023505054	16.202189352	-0.102797845	-0.015175114	0.025404434	-44.000000000	47.010107875	19.442627223	-0.005139892	47.010107875	-0.005118738	1.000000000
0.024024831	16.202189352	-0.102545634	-0.014344147	0.025404434	-43.000000000	48.049662510	19.442627223	-0.005127282	48.049662510	-0.005105659	1.000000000
0.024386158	16.202189352	-0.102387525	-0.013513181	0.025404434	-42.000000000	48.772315875	19.442627223	-0.005119376	48.772315875	-0.005097429	1.000000000
0.025005646	16.202189352	-0.102343917	-0.012682214	0.025404434	-41.000000000	50.011291247	19.442627223	-0.005117196	50.011291247	-0.005094691	1.000000000
0.025500249	16.202189352	-0.102014182	-0.011851247	0.025404434	-40.000000000	51.000497082	19.442627223	-0.005100709	51.000497082	-0.005077759	1.000000000
0.025869967	16.202189352	-0.101647214	-0.011020280	0.025404434	-39.000000000	51.739933380	19.442627223	-0.005082361	51.739933380	-0.005059078	1.000000000
0.026486822	16.202189352	-0.101640584	-0.010189314	0.025404434	-38.000000000	52.973643519	19.442627223	-0.005082029	52.973643519	-0.005058191	1.000000000
0.027046088	16.202189352	-0.101477374	-0.009358347	0.025404434	-37.000000000	54.092176664	19.442627223	-0.005073869	54.092176664	-0.005049527	1.000000000
0.027411035	16.202189352	-0.101358027	-0.008527380	0.025404434	-36.000000000	54.822069726	19.442627223	-0.005067901	54.822069726	-0.005043231	1.000000000
0.027934432	16.202189352	-0.101154269	-0.007696414	0.025404434	-35.000000000	55.868864058	19.442627223	-0.005057713	55.868864058	-0.005032572	1.000000000
0.028545857	16.202189352	-0.100945411	-0.006865447	0.025404434	-34.000000000	57.091714652	19.442627223	-0.005047271	57.091714652	-0.005021579	1.000000000
0.028904551	16.202189352	-0.100849525	-0.006034480	0.025404434	-33.000000000	57.809102783	19.442627223	-0.005042476	57.809102783	-0.005016462	1.000000000
0.029462502	16.202189352	-0.100643473	-0.005203514	0.025404434	-32.000000000	58.925003312	19.442627223	-0.005032174	58.925003312	-0.005005657	1.000000000
0.030058625	16.202189352	-0.100499134	-0.004372547	0.025404434	-31.000000000	60.117249733	19.442627223	-0.005024957	60.117249733	-0.004997904	1.000000000
0.030455821	16.202189352	-0.100162768	-0.003541580	0.025404434	-30.000000000	60.911641912	19.442627223	-0.005008138	60.911641912	-0.004980728	1.000000000
0.030936603	16.202189352	-0.100059487	-0.002710613	0.025404434	-29.000000000	61.873205269	19.442627223	-0.005002974	61.873205269	-0.004975131	1.000000000
0.031518740	16.202189352	-0.099738932	-0.001879647	0.025404434	-28.000000000	63.037480135	19.442627223	-0.004986947	63.037480135	-0.004958580	1.000000000
0.031919062	16.202189352	-0.099740972	-0.001048680	0.025404434	-27.000000000	63.838124779	19.442627223	-0.004987049	63.838124779	-0.004958321	1.000000000
0.032451345	16.202189352	-0.099600204	-0.000217713	0.025404434	-26.000000000	64.902689277	19.442627223	-0.004980010	64.902689277	-0.004950804	1.000000000
0.032987411	16.202189352	-0.099417102	0.000613989	0.025404434	-25.000000000	65.974822549	19.442627223	-0.004970855	65.974822549	-0.004941166	1.000000000
0.033436766	16.202189352	-0.099193709	0.001445952	0.025404434	-24.000000000	66.873532176	19.442627223	-0.004959685	66.873532176	-0.004929592	1.000000000
0.033966087	16.202189352	-0.099061101	0.002277915	0.025404434	-23.000000000	67.932173285	19.442627223	-0.004953055	67.932173285	-0.004922486	1.000000000
0.034519430	16.202189352	-0.098522252	0.003109878	0.025404434	-22.000000000	69.038859655	19.442627223	-0.004926113	69.038859655	-0.004895045	1.000000000
0.034930941	16.202189352	-0.098681127	0.003941841	0.025404434	-21.000000000	69.861881544	19.442627223	-0.004934056	69.861881544	-0.004902619	1.000000000
0.035480500	16.202189352	-0.098201953	0.004773804	0.025404434	-20.000000000	70.960999140	19.442627223	-0.004910098	70.960999140	-0.004878165	1.000000000
0.035930019	16.202189352	-0.098191242	0.005605767	0.025404434	-19.000000000	71.860037845	19.442627223	-0.004909562	71.860037845	-0.004877225	1.000000000
0.036351238	16.202189352	-0.097992075	0.006437730	0.025404434	-18.000000000	72.702475284	19.442627223	-0.004899604	72.702475284	-0.004866888	1.000000000
0.036906720	16.202189352	-0.097689881	0.007269693	0.025404434	-17.000000000	73.813439657	19.442627223	-0.004884494	73.813439657	-0.004851278	1.000000000
0.037487870	16.202189352	-0.097412169	0.008101656	0.025404434	-16.000000000	74.975740062	19.442627223	-0.004870608	74.975740062	-0.004836869	1.000000000
0.037873219	16.202189352	-0.097245134	0.008933619	0.025404434	-15.000000000	75.746438688	19.442627223	-0.004862257	75.746438688	-0.004828171	1.000000000
0.038406160	16.202189352	-0.097056422	0.009765582	0.025404434	-14.000000000	76.812319495	19.442627223	-0.004852821	76.812319495	-0.004818256	1.000000000
0.038985994	16.202189352	-0.096769530	0.010597545	0.025404434	-13.000000000	77.971987283	19.442627223	-0.004838476	77.971987283	-0.004803389	1.000000000
0.039367394	16.202189352	-0.096473712	0.011429508	0.025404434	-12.000000000	78.734788058	19.442627223	-0.004823686	78.734788058	-0.004788255	1.000000000
0.039927319	16.202189352	-0.096273524	0.012261471	0.025404434	-11.000000000	79.854637514	19.442627223	-0.004813676	79.854637514	-0.004777742	1.000000000
0.040462234	16.202189352	-0.095914462	0.013093434	0.025404434	-10.000000000	80.924467247	19.442627223	-0.004795723	80.924467247	-0.004759307	1.000000000
0.041015248	16.202189352	-0.095625785	0.013925397	0.025404434	-9.000000000	82.030495464	19.442627223	-0.004781289	82.030495464	-0.004744376	1.000000000
0.041445187	16.202189352	-0.095505162	0.014757360	0.025404434	-8.000000000	82.890373991	19.442627223	-0.004775258	82.890373991	-0.004737957	1.000000000
0.041979608	16.202189352	-0.095235866	0.015589323	0.025404434	-7.000000000	83.959216493	19.442627223	-0.004761793	83.959216493	-0.004724012	1.000000000
0.042534103	16.202189352	-0.094992326	0.016421287	0.025404434	-6.000000000	85.068206404	19.442627223	-0.004749616	85.068206404	-0.004711336	1.000000000
0.042966017	16.202189352	-0.094626123	0.017253250	0.025404434	-5.000000000	85.932033857	19.442627223	-0.004731306	85.932033857	-0.004692637	1.000000000
0.042875027	16.202189352	-0.094698038	0.017253250	0.145236669	-4.000000000	85.750054207	19.442627223	-0.004734902	85.750054207	-0.004696314	1.000000000
